date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:45:31	4422/4422	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Oct%202013%2019:05:45%20GMT	http://mydesignhoard.com/robots.txt		(from )
13:45:32	134565/134565	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2007:15:02%20GMT	http://mydesignhoard.com/HTML/html/education/	D:/project/demo1/mydesignhoard.com/HTML/html/education/index.html	(from )
13:45:32	3959/3959	---M--	200	added ('OK')	image/png	date:Fri,%2019%20May%202017%2007:14:44%20GMT	http://mydesignhoard.com/HTML/html/education/apple-touch-icon.png	D:/project/demo1/mydesignhoard.com/HTML/html/education/apple-touch-icon.png	(from http://mydesignhoard.com/HTML/html/education/)
13:45:33	121205/121205	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2007:15:21%20GMT	http://mydesignhoard.com/HTML/html/education/css/bootstrap.min.css	D:/project/demo1/mydesignhoard.com/HTML/html/education/css/bootstrap.min.css	(from http://mydesignhoard.com/HTML/html/education/)
13:45:34	7840/7840	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2007:15:24%20GMT	http://mydesignhoard.com/HTML/html/education/css/normalize.css	D:/project/demo1/mydesignhoard.com/HTML/html/education/css/normalize.css	(from http://mydesignhoard.com/HTML/html/education/)
13:45:34	31004/31004	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2007:15:21%20GMT	http://mydesignhoard.com/HTML/html/education/css/font-awesome.min.css	D:/project/demo1/mydesignhoard.com/HTML/html/education/css/font-awesome.min.css	(from http://mydesignhoard.com/HTML/html/education/)
13:45:34	26944/26944	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2007:15:22%20GMT	http://mydesignhoard.com/HTML/html/education/css/icomoon.css	D:/project/demo1/mydesignhoard.com/HTML/html/education/css/icomoon.css	(from http://mydesignhoard.com/HTML/html/education/)
13:45:35	75599/75599	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2007:15:21%20GMT	http://mydesignhoard.com/HTML/html/education/css/animate.css	D:/project/demo1/mydesignhoard.com/HTML/html/education/css/animate.css	(from http://mydesignhoard.com/HTML/html/education/)
13:45:35	20057/20057	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2007:15:25%20GMT	http://mydesignhoard.com/HTML/html/education/css/prettyPhoto.css	D:/project/demo1/mydesignhoard.com/HTML/html/education/css/prettyPhoto.css	(from http://mydesignhoard.com/HTML/html/education/)
13:45:35	4036/4036	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2007:15:24%20GMT	http://mydesignhoard.com/HTML/html/education/css/owl.carousel.css	D:/project/demo1/mydesignhoard.com/HTML/html/education/css/owl.carousel.css	(from http://mydesignhoard.com/HTML/html/education/)
13:45:36	1226/1226	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2007:15:24%20GMT	http://mydesignhoard.com/HTML/html/education/css/owl.theme.default.css	D:/project/demo1/mydesignhoard.com/HTML/html/education/css/owl.theme.default.css	(from http://mydesignhoard.com/HTML/html/education/)
13:45:36	5323/5323	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2007:15:25%20GMT	http://mydesignhoard.com/HTML/html/education/css/transitions.css	D:/project/demo1/mydesignhoard.com/HTML/html/education/css/transitions.css	(from http://mydesignhoard.com/HTML/html/education/)
13:45:37	100414/100414	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2007:15:27%20GMT	http://mydesignhoard.com/HTML/html/education/css/main.css	D:/project/demo1/mydesignhoard.com/HTML/html/education/css/main.css	(from http://mydesignhoard.com/HTML/html/education/)
13:45:37	3837/3837	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2007:15:20%20GMT	http://mydesignhoard.com/HTML/html/education/css/color.css	D:/project/demo1/mydesignhoard.com/HTML/html/education/css/color.css	(from http://mydesignhoard.com/HTML/html/education/)
13:45:37	24817/24817	---MCZ	200	added ('OK')	text/css	date:Fri,%2019%20May%202017%2007:15:25%20GMT	http://mydesignhoard.com/HTML/html/education/css/responsive.css	D:/project/demo1/mydesignhoard.com/HTML/html/education/css/responsive.css	(from http://mydesignhoard.com/HTML/html/education/)
13:45:38	20116/20116	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2019%20May%202017%2007:15:33%20GMT	http://mydesignhoard.com/HTML/html/education/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js	D:/project/demo1/mydesignhoard.com/HTML/html/education/js/vendor/modernizr-2.8.3-respond-1.4.2.min.js	(from http://mydesignhoard.com/HTML/html/education/)
13:45:38	1313/1313	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:04%20GMT	http://mydesignhoard.com/HTML/html/education/images/flags/img-01.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/flags/img-01.jpg	(from http://mydesignhoard.com/HTML/html/education/)
13:45:38	1313/1313	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:04%20GMT	http://mydesignhoard.com/HTML/html/education/images/flags/img-02.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/flags/img-02.jpg	(from http://mydesignhoard.com/HTML/html/education/)
13:45:39	1313/1313	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:04%20GMT	http://mydesignhoard.com/HTML/html/education/images/flags/img-03.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/flags/img-03.jpg	(from http://mydesignhoard.com/HTML/html/education/)
13:45:39	1313/1313	---M--	200	added ('OK')	image/jpeg	date:Wed,%2010%20May%202017%2007:15:04%20GMT	http://mydesignhoard.com/HTML/html/education/images/flags/img-04.jpg	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/flags/img-04.jpg	(from http://mydesignhoard.com/HTML/html/education/)
13:45:40	134565/134565	---MCZ	200	added ('OK')	text/html	date:Fri,%2019%20May%202017%2007:15:02%20GMT	http://mydesignhoard.com/HTML/html/education/index.html	D:/project/demo1/mydesignhoard.com/HTML/html/education/index-2.html	(from http://mydesignhoard.com/HTML/html/education/)
13:45:40	8361/8361	---M--	200	added ('OK')	image/png	date:Wed,%2010%20May%202017%2007:14:16%20GMT	http://mydesignhoard.com/HTML/html/education/images/logo.png	D:/project/demo1/mydesignhoard.com/HTML/html/education/images/logo.png	(from http://mydesignhoard.com/HTML/html/education/)
